epoch,step,data_path_mode,coord_batch_mode,index_sampling_mode,sampling_device,field_read_mode,field_normalization_mode,gpu_transfer_mode,data_path_diag_storage_mode,batch_size,N_full,N_query,N_obs_total,loader_wait_ms,index_sampling_ms,hdf5_read_ms,cpu_normalization_ms,cpu_materialization_ms,h2d_ms,sparse_condition_materialization_ms,query_materialization_ms,pre_model_total_ms,model_forward_ms,backward_ms,query_microbatch_active,train_query_microbatch_size,rf_bridge_ms,condition_context_ms,query_chunk_forward_ms,query_chunk_backward_ms,query_microbatches,optimizer_ms,total_training_step_ms,allocated_after_materialization_mb,allocated_before_model_mb,gpu_peak_allocated_mb,gpu_peak_reserved_mb
1,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,36831,0.5383435636758804,93.65813340991735,34.16736889630556,55.29854632914066,12.573564425110817,1.2035202234983444,0.0,0.0,196.90113328397274,102.15234383940697,138.74603435397148,0,0,0.0,0.0,0.0,0.0,1,1.366952434182167,368.4825086966157,59.0419921875,52.76708984375,23258.34912109375,27688.0
1,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,36120,0.45090168714523315,66.20064564049244,31.937730498611927,51.932443864643574,12.04135175794363,1.1462504044175148,0.0,0.0,163.25842216610909,102.67364978790283,139.61403910070658,0,0,0.0,0.0,0.0,0.0,1,1.2898454442620277,359.95534621179104,59.0419921875,52.76708984375,23258.34912109375,27688.0
1,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,36453,0.17320923507213593,73.9757614210248,32.511550933122635,54.31405268609524,12.14585267007351,0.9520882740616798,0.0,0.0,173.89930598437786,102.12413314729929,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,103.58160082250834,59.0419921875,59.0419921875,9805.41796875,27688.0
2,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,37233,0.38217753171920776,75.76204743236303,35.011365078389645,59.59916487336159,14.33104183524847,1.1976538226008415,0.0,0.0,185.90127304196358,102.78959013521671,141.07178803533316,0,0,0.0,0.0,0.0,0.0,1,1.2197243049740791,362.532252445817,59.0419921875,52.76708984375,23258.34912109375,27688.0
2,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,37541,0.431903637945652,67.52569694072008,32.89261274039745,51.73130612820387,12.058109976351261,1.1515580117702484,0.0,0.0,165.3592837974429,104.0068045258522,141.17292501032352,0,0,0.0,0.0,0.0,0.0,1,1.4286935329437256,375.6519854068756,59.0419921875,52.76708984375,23258.34912109375,27688.0
3,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,37282,0.5246549844741821,73.24773073196411,34.03549920767546,54.68255188316107,12.669111602008343,1.1579841375350952,0.0,0.0,175.79287756234407,104.20990642160177,142.34459958970547,0,0,0.0,0.0,0.0,0.0,1,1.589050516486168,375.81430561840534,59.0419921875,52.76708984375,23258.34912109375,27688.0
3,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,37273,0.43413881212472916,68.30094754695892,32.62218553572893,53.34577616304159,12.139694765210152,1.175583340227604,0.0,0.0,167.5841873511672,104.83793169260025,143.319602124393,0,0,0.0,0.0,0.0,0.0,1,1.8382472917437553,374.64432045817375,59.0419921875,52.76708984375,23258.34912109375,27688.0
4,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,36101,0.34055113792419434,74.9379163607955,33.54606684297323,54.387541487812996,12.066492810845375,1.1719530448317528,0.0,0.0,176.10997054725885,105.51344882696867,144.0836787223816,0,0,0.0,0.0,0.0,0.0,1,1.4532767236232758,370.4431774094701,59.0419921875,52.76708984375,23258.34912109375,27688.0
4,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,37352,0.3768680617213249,66.26099906861782,33.545222133398056,53.2527482137084,11.799982748925686,1.0873032733798027,0.0,0.0,165.94625543802977,106.34429380297661,145.17266303300858,0,0,0.0,0.0,0.0,0.0,1,1.4988137409090996,376.38536654412746,59.0419921875,52.76708984375,23258.34912109375,27688.0
5,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,128,40300,4096,37628,0.5190670490264893,77.3206576704979,35.30524671077728,56.730885058641434,12.861311435699463,1.224752515554428,0.0,0.0,183.4428533911705,106.46330751478672,145.7548700273037,0,0,0.0,0.0,0.0,0.0,1,1.3138717040419579,384.7686741501093,59.0419921875,52.76708984375,23258.34912109375,27688.0
