epoch,step,data_path_mode,coord_batch_mode,index_sampling_mode,sampling_device,field_read_mode,field_normalization_mode,gpu_transfer_mode,data_path_diag_storage_mode,batch_size,N_full,N_query,N_obs_total,loader_wait_ms,index_sampling_ms,hdf5_read_ms,cpu_normalization_ms,cpu_materialization_ms,h2d_ms,sparse_condition_materialization_ms,query_materialization_ms,pre_model_total_ms,model_forward_ms,backward_ms,query_microbatch_active,train_query_microbatch_size,rf_bridge_ms,condition_context_ms,query_chunk_forward_ms,query_chunk_backward_ms,query_microbatches,optimizer_ms,total_training_step_ms,allocated_after_materialization_mb,allocated_before_model_mb,gpu_peak_allocated_mb,gpu_peak_reserved_mb
1,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,17870,0.8152034133672714,57.658215053379536,18.764217384159565,29.177489690482616,6.6174473613500595,0.6263498216867447,0.0,0.0,112.84371931105852,52.59294342249632,70.44138293713331,0,0,0.0,0.0,0.0,0.0,1,1.4767535030841827,150.62777698040009,51.0732421875,44.79833984375,11647.84716796875,13860.0
1,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,17896,1.7916057258844376,33.79659913480282,16.313567757606506,26.182628236711025,6.084423512220383,1.198500394821167,0.0,0.0,83.5757190361619,55.146390572190285,72.11173977702856,0,0,0.0,0.0,0.0,0.0,1,5.95171470195055,165.90879764407873,51.0732421875,44.79833984375,11647.84716796875,13860.0
1,105,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18737,1.5222914516925812,44.93511188775301,16.521704383194447,26.368685998022556,6.030501797795296,0.7392149418592453,0.0,0.0,94.59521900862455,57.00280889868736,73.49462434649467,0,0,0.0,0.0,0.0,0.0,1,4.041377454996109,163.85569982230663,51.0732421875,44.79833984375,11647.84716796875,13860.0
1,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18479,0.47800224274396896,42.99571830779314,16.807501204311848,27.414376847445965,5.348272621631622,0.5755042657256126,0.0,0.0,93.14137324690819,52.60160285979509,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,54.36554830521345,51.0732421875,51.0732421875,4924.26171875,13860.0
2,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18750,1.3010287657380104,38.05141430348158,17.529958859086037,27.336428873240948,6.082178093492985,0.7238499820232391,0.0,0.0,89.72383011132479,52.907793782651424,71.9781992956996,0,0,0.0,0.0,0.0,0.0,1,6.297295913100243,165.48386961221695,51.0732421875,44.79833984375,11647.84716796875,13860.0
2,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,19035,0.5470085889101028,34.118433482944965,16.199031844735146,25.894596241414547,5.9036631137132645,0.631936825811863,0.0,0.0,82.74766150861979,53.04803606122732,72.16090708971024,0,0,0.0,0.0,0.0,0.0,1,1.5172623097896576,181.58372584730387,51.0732421875,44.79833984375,11647.84716796875,13860.0
2,105,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,17985,0.24137645959854126,37.974027916789055,26.998670771718025,38.08326739817858,8.39117169380188,0.6355680525302887,0.0,0.0,112.08270583301783,53.50285116583109,72.73110095411539,0,0,0.0,0.0,0.0,0.0,1,1.3974132016301155,185.6435388326645,51.0732421875,44.79833984375,11647.84716796875,13860.0
3,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18661,0.9009698405861855,38.69256842881441,18.189280293881893,28.84894050657749,6.642309948801994,0.6425520405173302,0.0,0.0,93.01565121859312,54.776500910520554,74.0279396995902,0,0,0.0,0.0,0.0,0.0,1,1.8648002296686172,157.1181071922183,51.0732421875,44.79833984375,11647.84716796875,13860.0
3,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,17284,0.4056468605995178,33.189802430570126,15.919098630547523,25.706577114760876,5.827680230140686,0.6129387766122818,0.0,0.0,81.25609718263149,53.26203256845474,73.20519350469112,0,0,0.0,0.0,0.0,0.0,1,3.230363130569458,186.55232805758715,51.0732421875,44.79833984375,11647.84716796875,13860.0
3,105,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,19106,0.3997795283794403,34.00053735822439,17.008918337523937,27.367442846298218,6.160687655210495,0.6204815581440926,0.0,0.0,85.15806775540113,53.28521877527237,72.68025353550911,0,0,0.0,0.0,0.0,0.0,1,1.2923693284392357,181.18729069828987,51.0732421875,44.79833984375,11647.84716796875,13860.0
4,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18746,0.5394648760557175,39.108830504119396,21.08299732208252,30.57154454290867,7.440471090376377,0.5732681602239609,0.0,0.0,98.77711161971092,54.37532439827919,74.80598520487547,0,0,0.0,0.0,0.0,0.0,1,1.263035461306572,188.22882790118456,51.0732421875,44.79833984375,11647.84716796875,13860.0
4,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,17743,1.4706086367368698,33.49375631660223,16.539855860173702,26.117813773453236,5.810081027448177,0.9789150208234787,0.0,0.0,82.94042199850082,59.57497097551823,74.65791795402765,0,0,0.0,0.0,0.0,0.0,1,2.252287231385708,189.0797894448042,51.0732421875,44.79833984375,11647.84716796875,13860.0
4,105,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18054,2.0223641768097878,34.624370746314526,16.861699521541595,25.684230029582977,5.778782069683075,0.957682728767395,0.0,0.0,83.90676509588957,64.34690114110708,73.7535934895277,0,0,0.0,0.0,0.0,0.0,1,6.9999126717448235,170.99192924797535,51.0732421875,44.79833984375,11647.84716796875,13860.0
5,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18825,0.45313872396945953,45.29409762471914,18.68096087127924,29.093952849507332,6.486982107162476,0.601205974817276,0.0,0.0,100.15719942748547,53.42602077871561,73.41024558991194,0,0,0.0,0.0,0.0,0.0,1,1.7432747408747673,180.9947956353426,51.0732421875,44.79833984375,11647.84716796875,13860.0
5,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18733,0.46822521835565567,44.24533899873495,28.453352861106396,32.13293384760618,7.788300514221191,0.6065145134925842,0.0,0.0,113.2264407351613,53.24470717459917,72.88363110274076,0,0,0.0,0.0,0.0,0.0,1,1.9444199278950691,184.24220010638237,51.0732421875,44.79833984375,11647.84716796875,13860.0
5,105,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18695,0.4774453118443489,34.596153534948826,33.05961098521948,33.45129452645779,8.781179785728455,0.6604334339499474,0.0,0.0,110.5486722663045,53.54642774909735,72.09496758878231,0,0,0.0,0.0,0.0,0.0,1,1.4398768544197083,184.06647443771362,51.0732421875,44.79833984375,11647.84716796875,13860.0
5,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18353,0.4794001579284668,36.205886863172054,16.32027979940176,25.10705031454563,5.121697671711445,0.580253079533577,0.0,0.0,83.33516772836447,53.05026564747095,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,54.45102881640196,51.0732421875,51.0732421875,4924.26171875,13860.0
