epoch,step,data_path_mode,coord_batch_mode,index_sampling_mode,sampling_device,field_read_mode,field_normalization_mode,gpu_transfer_mode,data_path_diag_storage_mode,batch_size,N_full,N_query,N_obs_total,loader_wait_ms,index_sampling_ms,hdf5_read_ms,cpu_normalization_ms,cpu_materialization_ms,h2d_ms,sparse_condition_materialization_ms,query_materialization_ms,pre_model_total_ms,model_forward_ms,backward_ms,query_microbatch_active,train_query_microbatch_size,rf_bridge_ms,condition_context_ms,query_chunk_forward_ms,query_chunk_backward_ms,query_microbatches,optimizer_ms,total_training_step_ms,allocated_after_materialization_mb,allocated_before_model_mb,gpu_peak_allocated_mb,gpu_peak_reserved_mb
1,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,17860,0.318760983645916,59.49054006487131,17.236883752048016,27.481956407427788,6.123509258031845,0.6400374695658684,0.0,0.0,110.97292695194483,58.5476653650403,81.36999607086182,0,0,0.0,0.0,0.0,0.0,1,1.2767231091856956,207.11603201925755,55.0791015625,47.802734375,12655.1826171875,15080.0
1,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18750,0.46766549348831177,32.79697336256504,15.591949224472046,24.492970667779446,5.482076667249203,0.6196433678269386,0.0,0.0,78.98361328989267,59.44695882499218,83.26077554374933,0,0,0.0,0.0,0.0,0.0,1,1.321142539381981,196.49352971464396,55.0791015625,47.802734375,12655.1826171875,15080.0
1,105,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18039,0.40732230991125107,32.7885914593935,15.98446350544691,25.412365794181824,5.937744863331318,0.6439490243792534,0.0,0.0,80.76711464673281,59.92580018937588,84.48134455829859,0,0,0.0,0.0,0.0,0.0,1,1.4982633292675018,203.14617920666933,55.0791015625,47.802734375,12655.1826171875,15080.0
1,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,19115,0.4710191860795021,37.470562383532524,15.917414799332619,27.469669468700886,5.246003158390522,0.5861194804310799,0.0,0.0,86.68976929038763,59.35616418719292,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,60.85219234228134,55.0791015625,55.0791015625,4986.275390625,15080.0
2,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18234,0.40536653250455856,37.99102921038866,17.147486098110676,27.86300703883171,6.711873225867748,0.6056744605302811,0.0,0.0,90.31907003372908,60.21746341139078,84.4215601682663,0,0,0.0,0.0,0.0,0.0,1,1.4077471569180489,204.93219513446093,55.0791015625,47.802734375,12655.1826171875,15080.0
2,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18183,0.23467093706130981,34.406146965920925,16.37472677975893,25.876970030367374,5.562836304306984,0.6447872146964073,0.0,0.0,82.86546729505062,60.63679791986942,86.42073441296816,0,0,0.0,0.0,0.0,0.0,1,1.2767231091856956,208.71263649314642,55.0791015625,47.802734375,12655.1826171875,15080.0
2,105,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18603,0.33831875771284103,33.23279041796923,15.743366442620754,24.76619742810726,5.667579360306263,0.6467429921030998,0.0,0.0,80.0566766411066,60.91672740876675,87.14737836271524,0,0,0.0,0.0,0.0,0.0,1,1.4300970360636711,207.50128664076328,55.0791015625,47.802734375,12655.1826171875,15080.0
3,5,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,17940,0.35983044654130936,36.9771933183074,16.86196308583021,27.028536424040794,6.18972722440958,0.6500948220491409,0.0,0.0,87.70751487463713,61.10418401658535,87.96062506735325,0,0,0.0,0.0,0.0,0.0,1,1.354946754872799,209.88599304109812,55.0791015625,47.802734375,12655.1826171875,15080.0
3,55,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,18274,0.313454307615757,31.56187664717436,15.588026493787766,24.3722815066576,5.522877909243107,0.666297972202301,0.0,0.0,77.71136052906513,61.33606284856796,88.27491663396358,0,0,0.0,0.0,0.0,0.0,1,1.241522841155529,221.97882272303104,55.0791015625,47.802734375,12655.1826171875,15080.0
3,105,optimized,shared_mesh,scalable,cpu,legacy_full_snapshot,selected_after_full_read,selected_only,append,64,40300,4096,19387,0.3461400046944618,33.456847071647644,16.592645086348057,26.15466993302107,5.745528265833855,0.6174081936478615,0.0,0.0,82.56709855049849,62.76224926114082,90.04752337932587,0,0,0.0,0.0,0.0,0.0,1,1.3907058164477348,215.45803640037775,55.0791015625,47.802734375,12655.1826171875,15080.0
