checkpoint,repeat,batch_index,manifest_start_index,rf_seed,loss,target_rms,batch_samples
GL_rbf_CQ_rc1,0,0,0,1729,0.10346492379903793,1.2712417840957642,1
GL_rbf_CQ_rc1,0,1,1,1730,0.45835447311401367,1.2374696731567383,1
GL_rbf_CQ_rc1,0,2,2,1731,0.24715082347393036,1.3155573606491089,1
GL_rbf_CQ_rc1,0,3,3,1732,0.7518192529678345,1.5026652812957764,1
GL_rbf_CQ_rc1,0,4,4,1733,0.18063102662563324,1.438909888267517,1
GL_rbf_CQ_rc1,0,5,5,1734,0.21101056039333344,1.229604721069336,1
GL_rbf_CQ_rc1,0,6,6,1735,0.2610616683959961,1.2616817951202393,1
GL_rbf_CQ_rc1,0,7,7,1736,0.15098285675048828,1.2940534353256226,1
GL_rbf_CQ_rc1,0,8,8,1737,0.4438076615333557,1.2541345357894897,1
GL_rbf_CQ_rc1,0,9,9,1738,0.2566652297973633,1.358318567276001,1
GL_rbf_CQ_rc1,0,10,10,1739,0.24264417588710785,1.4160829782485962,1
GL_rbf_CQ_rc1,0,11,11,1740,0.1836554855108261,1.2481945753097534,1
GL_rbf_CQ_rc1,0,12,12,1741,0.19361993670463562,1.3924716711044312,1
GL_rbf_CQ_rc1,0,13,13,1742,0.2765905559062958,1.358562707901001,1
GL_rbf_CQ_rc1,0,14,14,1743,0.24030914902687073,1.657221794128418,1
GL_rbf_CQ_rc1,0,15,15,1744,0.14567963778972626,1.585094690322876,1
GL_rbf_CQ_rc1,0,16,16,1745,0.23324237763881683,1.198534607887268,1
GL_rbf_CQ_rc1,0,17,17,1746,0.12829110026359558,1.4344464540481567,1
GL_rbf_CQ_rc1,0,18,18,1747,0.2440420687198639,1.391371250152588,1
GL_rbf_CQ_rc1,0,19,19,1748,0.23930732905864716,1.288348913192749,1
GL_rbf_CQ_rc1,0,20,20,1749,0.10853161662817001,1.4614983797073364,1
GL_rbf_CQ_rc1,0,21,21,1750,0.6779225468635559,1.2719329595565796,1
GL_rbf_CQ_rc1,0,22,22,1751,0.11816857010126114,1.3184871673583984,1
GL_rbf_CQ_rc1,0,23,23,1752,0.41640979051589966,1.4273203611373901,1
GL_rbf_CQ_rc1,0,24,24,1753,0.2446153163909912,1.2381144762039185,1
GL_rbf_CQ_rc1,0,25,25,1754,0.7224364280700684,1.269612431526184,1
GL_rbf_CQ_rc1,0,26,26,1755,0.17089147865772247,1.5541954040527344,1
GL_rbf_CQ_rc1,0,27,27,1756,0.11619599163532257,1.4548338651657104,1
GL_rbf_CQ_rc1,0,28,28,1757,0.18499092757701874,1.2935200929641724,1
GL_rbf_CQ_rc1,0,29,29,1758,0.22359280288219452,1.5439237356185913,1
GL_rbf_CQ_rc1,0,30,30,1759,0.14685887098312378,1.5464296340942383,1
GL_rbf_CQ_rc1,0,31,31,1760,0.231881245970726,1.4809482097625732,1
GL_rbf_CQ_rc1,0,32,32,1761,0.22840367257595062,1.4537943601608276,1
GL_rbf_CQ_rc1,0,33,33,1762,0.3370385468006134,1.491246223449707,1
GL_rbf_CQ_rc1,0,34,34,1763,0.1391347348690033,1.4101910591125488,1
GL_rbf_CQ_rc1,0,35,35,1764,0.5004506707191467,1.5030418634414673,1
GL_rbf_CQ_rc1,0,36,36,1765,0.13853830099105835,1.4244263172149658,1
GL_rbf_CQ_rc1,0,37,37,1766,0.1902649700641632,1.2375946044921875,1
GL_rbf_CQ_rc1,0,38,38,1767,0.33057183027267456,1.1980024576187134,1
GL_rbf_CQ_rc1,0,39,39,1768,0.42404696345329285,1.2635536193847656,1
GL_rbf_CQ_rc1,0,40,40,1769,0.26854637265205383,1.2661088705062866,1
GL_rbf_CQ_rc1,0,41,41,1770,0.1336544156074524,1.3739055395126343,1
GL_rbf_CQ_rc1,0,42,42,1771,0.1514836996793747,1.4393550157546997,1
GL_rbf_CQ_rc1,0,43,43,1772,0.11900700628757477,1.4436804056167603,1
GL_rbf_CQ_rc1,0,44,44,1773,0.2653246521949768,1.3601627349853516,1
GL_rbf_CQ_rc1,0,45,45,1774,0.30143657326698303,1.368615984916687,1
GL_rbf_CQ_rc1,0,46,46,1775,0.13415591418743134,1.4792680740356445,1
GL_rbf_CQ_rc1,0,47,47,1776,0.17854414880275726,1.387721061706543,1
GL_rbf_CQ_rc1,0,48,48,1777,0.29071393609046936,1.158987283706665,1
GL_rbf_CQ_rc1,0,49,49,1778,0.32968512177467346,1.5482131242752075,1
GL_rbf_CQ_rc1,0,50,50,1779,0.15216541290283203,1.3562288284301758,1
GL_rbf_CQ_rc1,0,51,51,1780,0.4032745361328125,1.3042479753494263,1
GL_rbf_CQ_rc1,0,52,52,1781,0.1998910754919052,1.4727568626403809,1
GL_rbf_CQ_rc1,0,53,53,1782,0.16495727002620697,1.3449550867080688,1
GL_rbf_CQ_rc1,0,54,54,1783,0.07387276738882065,1.3635814189910889,1
GL_rbf_CQ_rc1,0,55,55,1784,0.19362199306488037,1.1997123956680298,1
GL_rbf_CQ_rc1,0,56,56,1785,0.11732115596532822,1.5314775705337524,1
GL_rbf_CQ_rc1,0,57,57,1786,0.17994758486747742,1.7223613262176514,1
GL_rbf_CQ_rc1,0,58,58,1787,0.23398087918758392,1.5616555213928223,1
GL_rbf_CQ_rc1,0,59,59,1788,0.21045009791851044,1.5817123651504517,1
GL_rbf_CQ_rc1,0,60,60,1789,0.6837011575698853,1.5794782638549805,1
GL_rbf_CQ_rc1,0,61,61,1790,0.2917419672012329,1.4735156297683716,1
GL_rbf_CQ_rc1,0,62,62,1791,0.20153212547302246,1.6993873119354248,1
GL_rbf_CQ_rc1,0,63,63,1792,0.1588287353515625,1.6377952098846436,1
GL_rbf_CQ_rc1,1,0,0,1001732,0.2712467908859253,1.461056113243103,1
GL_rbf_CQ_rc1,1,1,1,1001733,0.3194037079811096,1.4008194208145142,1
GL_rbf_CQ_rc1,1,2,2,1001734,0.16827704012393951,1.3592034578323364,1
GL_rbf_CQ_rc1,1,3,3,1001735,0.18178914487361908,1.296364665031433,1
GL_rbf_CQ_rc1,1,4,4,1001736,0.4160786271095276,1.3860512971878052,1
GL_rbf_CQ_rc1,1,5,5,1001737,0.16333667933940887,1.453246831893921,1
GL_rbf_CQ_rc1,1,6,6,1001738,0.6046791076660156,1.3769327402114868,1
GL_rbf_CQ_rc1,1,7,7,1001739,0.08261626958847046,1.4215245246887207,1
GL_rbf_CQ_rc1,1,8,8,1001740,0.2607756555080414,1.1995834112167358,1
GL_rbf_CQ_rc1,1,9,9,1001741,0.6812186241149902,1.308108925819397,1
GL_rbf_CQ_rc1,1,10,10,1001742,0.14401476085186005,1.2752715349197388,1
GL_rbf_CQ_rc1,1,11,11,1001743,0.23194146156311035,1.5381020307540894,1
GL_rbf_CQ_rc1,1,12,12,1001744,0.18116311728954315,1.2863541841506958,1
GL_rbf_CQ_rc1,1,13,13,1001745,0.1654268503189087,1.407752275466919,1
GL_rbf_CQ_rc1,1,14,14,1001746,0.2651704251766205,1.2633931636810303,1
GL_rbf_CQ_rc1,1,15,15,1001747,0.1489860862493515,1.3922258615493774,1
GL_rbf_CQ_rc1,1,16,16,1001748,0.15602314472198486,1.2938992977142334,1
GL_rbf_CQ_rc1,1,17,17,1001749,0.3353707790374756,1.4605226516723633,1
GL_rbf_CQ_rc1,1,18,18,1001750,0.6140548586845398,1.2896047830581665,1
GL_rbf_CQ_rc1,1,19,19,1001751,0.2426338642835617,1.364831805229187,1
GL_rbf_CQ_rc1,1,20,20,1001752,0.11955702304840088,1.3785655498504639,1
GL_rbf_CQ_rc1,1,21,21,1001753,0.11684796959161758,1.1694798469543457,1
GL_rbf_CQ_rc1,1,22,22,1001754,0.3155204951763153,1.4686359167099,1
GL_rbf_CQ_rc1,1,23,23,1001755,0.2342555969953537,1.3329681158065796,1
GL_rbf_CQ_rc1,1,24,24,1001756,0.11344242095947266,1.3418928384780884,1
GL_rbf_CQ_rc1,1,25,25,1001757,0.12405164539813995,1.3392589092254639,1
GL_rbf_CQ_rc1,1,26,26,1001758,0.3395204246044159,1.4244455099105835,1
GL_rbf_CQ_rc1,1,27,27,1001759,0.16824841499328613,1.5877912044525146,1
GL_rbf_CQ_rc1,1,28,28,1001760,0.18398705124855042,1.2138539552688599,1
GL_rbf_CQ_rc1,1,29,29,1001761,0.21923451125621796,1.4754923582077026,1
GL_rbf_CQ_rc1,1,30,30,1001762,0.2484389841556549,1.5548923015594482,1
GL_rbf_CQ_rc1,1,31,31,1001763,0.368419885635376,1.4421347379684448,1
GL_rbf_CQ_rc1,1,32,32,1001764,0.20108364522457123,1.3321785926818848,1
GL_rbf_CQ_rc1,1,33,33,1001765,0.4626745283603668,1.4167468547821045,1
GL_rbf_CQ_rc1,1,34,34,1001766,0.1144624724984169,1.42819082736969,1
GL_rbf_CQ_rc1,1,35,35,1001767,0.09728135168552399,1.4158754348754883,1
GL_rbf_CQ_rc1,1,36,36,1001768,0.1473139524459839,1.46698796749115,1
