checkpoint,repeat,batch_index,manifest_start_index,rf_seed,loss,target_rms,batch_samples
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,0,0,1729,0.13634121417999268,1.2712417840957642,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,1,1,1730,0.5012918710708618,1.2374696731567383,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,2,2,1731,0.2962779700756073,1.3155573606491089,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,3,3,1732,0.81878262758255,1.5026652812957764,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,4,4,1733,0.24509571492671967,1.438909888267517,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,5,5,1734,0.2663480341434479,1.229604721069336,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,6,6,1735,0.3120615780353546,1.2616817951202393,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,7,7,1736,0.19804474711418152,1.2940534353256226,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,8,8,1737,0.5039358139038086,1.2541345357894897,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,9,9,1738,0.3299063444137573,1.358318567276001,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,10,10,1739,0.29116925597190857,1.4160829782485962,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,11,11,1740,0.2127920240163803,1.2481945753097534,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,12,12,1741,0.25085610151290894,1.3924716711044312,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,13,13,1742,0.36485180258750916,1.358562707901001,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,14,14,1743,0.2806060314178467,1.657221794128418,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,15,15,1744,0.193160280585289,1.585094690322876,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,16,16,1745,0.2589346170425415,1.198534607887268,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,17,17,1746,0.19852106273174286,1.4344464540481567,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,18,18,1747,0.2719455361366272,1.391371250152588,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,19,19,1748,0.33472782373428345,1.288348913192749,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,20,20,1749,0.13057439029216766,1.4614983797073364,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,21,21,1750,0.7104383707046509,1.2719329595565796,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,22,22,1751,0.15414567291736603,1.3184871673583984,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,23,23,1752,0.49937111139297485,1.4273203611373901,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,24,24,1753,0.304458349943161,1.2381144762039185,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,25,25,1754,0.737472653388977,1.269612431526184,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,26,26,1755,0.23376107215881348,1.5541954040527344,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,27,27,1756,0.1392032653093338,1.4548338651657104,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,28,28,1757,0.23441381752490997,1.2935200929641724,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,29,29,1758,0.280813068151474,1.5439237356185913,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,30,30,1759,0.17390088737010956,1.5464296340942383,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,31,31,1760,0.2899491786956787,1.4809482097625732,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,32,32,1761,0.2781461775302887,1.4537943601608276,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,33,33,1762,0.417452335357666,1.491246223449707,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,34,34,1763,0.17477524280548096,1.4101910591125488,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,35,35,1764,0.5814559459686279,1.5030418634414673,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,36,36,1765,0.1558610051870346,1.4244263172149658,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,37,37,1766,0.22113037109375,1.2375946044921875,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,38,38,1767,0.3494008183479309,1.1980024576187134,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,39,39,1768,0.5044559836387634,1.2635536193847656,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,40,40,1769,0.33541935682296753,1.2661088705062866,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,41,41,1770,0.1665176898241043,1.3739055395126343,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,42,42,1771,0.16684217751026154,1.4393550157546997,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,43,43,1772,0.15711422264575958,1.4436804056167603,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,44,44,1773,0.3331018388271332,1.3601627349853516,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,45,45,1774,0.3506762385368347,1.368615984916687,1
