checkpoint,repeat,batch_index,manifest_start_index,rf_seed,loss,target_rms,batch_samples
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,0,0,1729,1.586197018623352,1.2712435722351074,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,1,1,1730,1.5219663381576538,1.23746919631958,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,2,2,1731,1.7289117574691772,1.315557599067688,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,3,3,1732,2.2532949447631836,1.5026644468307495,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,4,4,1733,2.0513463020324707,1.4389079809188843,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,5,5,1734,1.4805740118026733,1.2296062707901,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,6,6,1735,1.588752031326294,1.2616814374923706,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,7,7,1736,1.6374924182891846,1.2940534353256226,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,8,8,1737,1.5915842056274414,1.254134178161621,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,9,9,1738,1.8357689380645752,1.3583167791366577,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,10,10,1739,1.9757012128829956,1.4160819053649902,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,11,11,1740,1.5528377294540405,1.2481950521469116,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,12,12,1741,1.9281895160675049,1.392473816871643,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,13,13,1742,1.8208290338516235,1.3585625886917114,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,14,14,1743,2.7276859283447266,1.6572211980819702,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,15,15,1744,2.499150037765503,1.5850937366485596,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,16,16,1745,1.4543204307556152,1.198534369468689,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,17,17,1746,2.0490875244140625,1.434444546699524,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,18,18,1747,1.9025253057479858,1.391370415687561,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,19,19,1748,1.6724470853805542,1.2883491516113281,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,20,20,1749,2.1239590644836426,1.4614965915679932,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,21,21,1750,1.618391990661621,1.2719323635101318,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,22,22,1751,1.7283881902694702,1.3184880018234253,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,23,23,1752,2.0449740886688232,1.4273205995559692,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,24,24,1753,1.5361337661743164,1.2381149530410767,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,25,25,1754,1.5873512029647827,1.2696110010147095,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,26,26,1755,2.419297933578491,1.5541958808898926,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,27,27,1756,2.1072986125946045,1.4548345804214478,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,28,28,1757,1.6728180646896362,1.2935197353363037,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,29,29,1758,2.394742250442505,1.5439218282699585,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,30,30,1759,2.3856260776519775,1.5464284420013428,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,31,31,1760,2.1767046451568604,1.4809492826461792,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,32,32,1761,2.1285200119018555,1.4537955522537231,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,33,33,1762,2.2242026329040527,1.491246223449707,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,34,34,1763,1.9947395324707031,1.410191535949707,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,35,35,1764,2.219700336456299,1.5030423402786255,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,36,36,1765,1.9886082410812378,1.4244252443313599,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,37,37,1766,1.528322696685791,1.2375928163528442,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,38,38,1767,1.4501432180404663,1.1980023384094238,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,39,39,1768,1.5955321788787842,1.263554334640503,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,40,40,1769,1.5942596197128296,1.2661082744598389,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,41,41,1770,1.8687924146652222,1.3739073276519775,1
S7_B_All256_200ep_B128_DemoN9702_20260822_224830,0,42,42,1771,2.0480220317840576,1.439355492591858,1
