snapshot,candidate,nfe,field,relative_l2,weights,epoch
0,GL_rbf_ENH,1,CO,0.36137762665748596,live,845
0,GL_rbf_ENH,1,T,0.13790391385555267,live,845
0,GL_rbf_ENH,1,U_0,0.11503840982913971,live,845
0,GL_rbf_ENH,1,U_1,0.5682828426361084,live,845
0,GL_rbf_ENH,1,p,0.01576917991042137,live,845
0,GL_rbf_ENH,4,CO,0.363247811794281,live,845
0,GL_rbf_ENH,4,T,0.16161511838436127,live,845
0,GL_rbf_ENH,4,U_0,0.1131640374660492,live,845
0,GL_rbf_ENH,4,U_1,0.6571363210678101,live,845
0,GL_rbf_ENH,4,p,0.017300810664892197,live,845
0,CQ-LR-128,1,CO,0.4083051383495331,live,845
0,CQ-LR-128,1,T,0.1632852703332901,live,845
0,CQ-LR-128,1,U_0,0.12322559952735901,live,845
0,CQ-LR-128,1,U_1,0.6075666546821594,live,845
0,CQ-LR-128,1,p,0.018575655296444893,live,845
0,CQ-LR-128,4,CO,0.4219702482223511,live,845
0,CQ-LR-128,4,T,0.19545245170593262,live,845
0,CQ-LR-128,4,U_0,0.12386399507522583,live,845
0,CQ-LR-128,4,U_1,0.7070951461791992,live,845
0,CQ-LR-128,4,p,0.021690532565116882,live,845
0,CQ-LR-256,1,CO,0.3584599792957306,live,840
0,CQ-LR-256,1,T,0.1478824019432068,live,840
0,CQ-LR-256,1,U_0,0.09430011361837387,live,840
0,CQ-LR-256,1,U_1,0.4382210373878479,live,840
0,CQ-LR-256,1,p,0.011731337755918503,live,840
0,CQ-LR-256,4,CO,0.35546115040779114,live,840
0,CQ-LR-256,4,T,0.15525618195533752,live,840
0,CQ-LR-256,4,U_0,0.09032212942838669,live,840
0,CQ-LR-256,4,U_1,0.5256221890449524,live,840
0,CQ-LR-256,4,p,0.012748840264976025,live,840
0,GL_rbf_CQ,1,CO,0.34641358256340027,ema,1000
0,GL_rbf_CQ,1,T,0.1448831409215927,ema,1000
0,GL_rbf_CQ,1,U_0,0.08987285196781158,ema,1000
0,GL_rbf_CQ,1,U_1,0.4715900421142578,ema,1000
