nfe,field,F0,F1,F1_minus_F0
1,CO,0.40762859582901,0.4032340347766876,-0.004394561052322388
1,T,0.15853767096996307,0.1610690802335739,0.00253140926361084
1,U_0,0.1483614146709442,0.1541178822517395,0.005756467580795288
1,U_1,0.7325077056884766,0.7594195604324341,0.02691185474395752
1,p,0.028024692088365555,0.0292630884796381,0.0012383963912725449
2,CO,0.4110216796398163,0.4188868999481201,0.007865220308303833
2,T,0.16247867047786713,0.16793829202651978,0.005459621548652649
2,U_0,0.17241673171520233,0.17592816054821014,0.0035114288330078125
2,U_1,0.848133385181427,0.8688435554504395,0.02071017026901245
2,p,0.03111731819808483,0.03206288814544678,0.0009455699473619461
4,CO,0.43902620673179626,0.4454573690891266,0.006431162357330322
4,T,0.17044517397880554,0.1786106377840042,0.00816546380519867
4,U_0,0.21848556399345398,0.22144939005374908,0.002963826060295105
4,U_1,0.9392993450164795,0.9512700438499451,0.011970698833465576
4,p,0.03485078364610672,0.0360943041741848,0.0012435205280780792
