current_path,classification,public_replacement,status,phase6_candidate
_CheckNotes/Stage1_5_Efficiency_GoalMode.md,canonical_stage_report,research index,retained,no
_CheckNotes/Stage6_Codex_CQ_Balanced_Quality_Recovery_GoalMode.md,canonical_stage_report,research index,retained,no
_CheckNotes/Codex_Stage7_Smart_CQ_GoalMode.md,canonical_stage_report,research index,retained,no
_CheckNotes/Stage7_smart_cq/RESULTS.md,canonical_scientific_result,research index,retained,no
_CheckNotes/Stage7_smart_cq/evaluation_1000/RESULTS.md,canonical_scientific_result,research index,retained,no
src/benchmark_pointcloud_cq.py,research_benchmark,scripts/benchmark_cleanup_sanity.py,retained,review move after import audit
src/benchmark_pointcloud_scaling.py,research_benchmark,research index,retained,review move after import audit
src/benchmark_pointcloud_reconstruction.py,research_benchmark,scripts/reconstruct_pointcloud.py,retained,review move after report-link audit
src/benchmark_pointcloud_stage7.py,research_benchmark,scripts/benchmark_cleanup_sanity.py,retained,review move after import audit
src/analyze_stage7_screen.py,research_analyzer,research index,retained,review move after report-link audit
Save_config/pointcloud_ffm/,exact_run_config_history,configs/,retained,review external archive
src/_OlderVersion/,legacy_baseline_source,legacy profile and Git tags,retained,review checkpoint dependency first

